Date,Name,Concat,Projected Fantasy Points,Salary
6/22/2020,Gray Gaulding,2020-06-22Gray Gaulding,12,4500
6/22/2020,Cole Custer,2020-06-22Cole Custer,22,6000
6/22/2020,Daniel Suarez,2020-06-22Daniel Suarez,24,7300
6/22/2020,Garrett Smithley,2020-06-22Garrett Smithley,8.9,5100
6/22/2020,Brennan Poole,2020-06-22Brennan Poole,17.9,5200
6/22/2020,Christopher Bell,2020-06-22Christopher Bell,28.2,9700
6/22/2020,William Byron,2020-06-22William Byron,27.9,8000
6/22/2020,Quin Houff,2020-06-22Quin Houff,12,4700
6/27/2020,Justin Allgaier,2020-06-27Justin Allgaier,36,10700
6/27/2020,Aric Almirola,2020-06-27Aric Almirola,28.2,7300
6/27/2020,Norm Benning,2020-06-27Norm Benning,12,5100
6/27/2020,Clint Bowyer,2020-06-27Clint Bowyer,32.3,9500
6/27/2020,Kurt Busch,2020-06-27Kurt Busch,37.4,8100
6/27/2020,Kyle Busch,2020-06-27Kyle Busch,33.5,9300
6/27/2020,Jeremy Clements,2020-06-27Jeremy Clements,22.8,8600
6/27/2020,Jennifer Jo Cobb,2020-06-27Jennifer Jo Cobb,17.8,4800
6/27/2020,Matt Crafton,2020-06-27Matt Crafton,26.3,9700
6/27/2020,Jeff Green,2020-06-27Jeff Green,12.3,5900
6/27/2020,Denny Hamlin,2020-06-27Denny Hamlin,48.7,8800
6/27/2020,Kevin Harvick,2020-06-27Kevin Harvick,57.3,10100
6/27/2020,Jimmie Johnson,2020-06-27Jimmie Johnson,40.1,9100
6/27/2020,Matt Kenseth,2020-06-27Matt Kenseth,15.1,8600
6/27/2020,Brad Keselowski,2020-06-27Brad Keselowski,45.9,9900
6/27/2020,Stephen Leicht,2020-06-27Stephen Leicht,6.3,4500
6/27/2020,Ryan Newman,2020-06-27Ryan Newman,29.1,6700
6/27/2020,Johnny Sauter,2020-06-27Johnny Sauter,37.6,9900
6/27/2020,Martin Truex Jr,2020-06-27Martin Truex Jr,41.6,9700
6/27/2020,JJ Yeley,2020-06-27JJ Yeley,12.5,4900
6/27/2020,Dexter Bean,2020-06-27Dexter Bean,0,4700
6/27/2020,Michael McDowell,2020-06-27Michael McDowell,30.3,5500
6/27/2020,Joey Logano,2020-06-27Joey Logano,42.8,10400
6/27/2020,Michael Annett,2020-06-27Michael Annett,26,8100
6/27/2020,Austin Dillon,2020-06-27Austin Dillon,30.8,6200
6/27/2020,Ryan Sieg,2020-06-27Ryan Sieg,24.1,7500
6/27/2020,Ricky Stenhouse Jr,2020-06-27Ricky Stenhouse Jr,28.4,7900
6/27/2020,Jeffrey Earnhardt,2020-06-27Jeffrey Earnhardt,25.9,7000
6/27/2020,Tommy Joe Martins,2020-06-27Tommy Joe Martins,28.7,7900
6/27/2020,Parker Kligerman,2020-06-27Parker Kligerman,0,7300
6/27/2020,Matt DiBenedetto,2020-06-27Matt DiBenedetto,30,7600
6/27/2020,Clay Greenfield,2020-06-27Clay Greenfield,24.3,8000
6/27/2020,BJ McLeod,2020-06-27BJ McLeod,20.7,4600
6/27/2020,Grant Enfinger,2020-06-27Grant Enfinger,30.9,7800
6/27/2020,Timmy Hill,2020-06-27Timmy Hill,26.3,5200
6/27/2020,Chris Buescher,2020-06-27Chris Buescher,30.5,6500
6/27/2020,Ross Chastain,2020-06-27Ross Chastain,40.3,11500
6/27/2020,Joey Gase,2020-06-27Joey Gase,12.2,4500
6/27/2020,Ty Dillon,2020-06-27Ty Dillon,24.6,7200
6/27/2020,Ryan Blaney,2020-06-27Ryan Blaney,43.5,9000
6/27/2020,Bubba Wallace,2020-06-27Bubba Wallace,31.9,7700
6/27/2020,Brett Moffitt,2020-06-27Brett Moffitt,31.8,10600
6/27/2020,Alex Bowman,2020-06-27Alex Bowman,35.7,8300
6/27/2020,Erik Jones,2020-06-27Erik Jones,34.7,7100
6/27/2020,Chase Elliott,2020-06-27Chase Elliott,45.8,10700
6/27/2020,Tyler Reddick,2020-06-27Tyler Reddick,33.1,7400
6/27/2020,Ryan Preece,2020-06-27Ryan Preece,20,5800
6/27/2020,Brandon Jones,2020-06-27Brandon Jones,35.3,10100
6/27/2020,John H. Nemechek,2020-06-27John H. Nemechek,28.9,6000
6/27/2020,Daniel Hemric,2020-06-27Daniel Hemric,26.6,9400
6/27/2020,Corey Lajoie,2020-06-27Corey Lajoie,25.3,5600
6/27/2020,Josh Reaume,2020-06-27Josh Reaume,18.5,4700
6/27/2020,Cole Custer,2020-06-27Cole Custer,22.5,6400
6/27/2020,Josh Williams,2020-06-27Josh Williams,29.4,8800
6/27/2020,Ben Rhodes,2020-06-27Ben Rhodes,28.4,8400
6/27/2020,Korbin Forrister,2020-06-27Korbin Forrister,18,6600
6/27/2020,Daniel Suarez,2020-06-27Daniel Suarez,24.3,6900
6/27/2020,Brandon Brown,2020-06-27Brandon Brown,27,7300
6/27/2020,Bryan Dauzat,2020-06-27Bryan Dauzat,7.2,4600
6/27/2020,Austin Hill,2020-06-27Austin Hill,47.7,9200
6/27/2020,Jordan Anderson,2020-06-27Jordan Anderson,16.2,6900
6/27/2020,Garrett Smithley,2020-06-27Garrett Smithley,9.6,5100
6/27/2020,Brennan Poole,2020-06-27Brennan Poole,28.4,5400
6/27/2020,Jesse Little,2020-06-27Jesse Little,23.6,4900
6/27/2020,Timothy Viens,2020-06-27Timothy Viens,0,4500
6/27/2020,Christopher Bell,2020-06-27Christopher Bell,27.8,11100
6/27/2020,Justin Haley,2020-06-27Justin Haley,33.6,8400
6/27/2020,Austin Cindric,2020-06-27Austin Cindric,43.9,10200
6/27/2020,William Byron,2020-06-27William Byron,29.1,8400
6/27/2020,Kyle Weatherman,2020-06-27Kyle Weatherman,9.1,5300
6/27/2020,Austin Wayne Self,2020-06-27Austin Wayne Self,23.3,6500
6/27/2020,Spencer Boyd,2020-06-27Spencer Boyd,24,5000
6/27/2020,Natalie Decker,2020-06-27Natalie Decker,32.8,5600
6/27/2020,Sheldon Creed,2020-06-27Sheldon Creed,32.4,7700
6/27/2020,Stewart Friesen,2020-06-27Stewart Friesen,29.5,10900
6/27/2020,Matt Mills,2020-06-27Matt Mills,16.3,6500
6/27/2020,James Davison,2020-06-27James Davison,0,5000
6/27/2020,Josh Bilicki,2020-06-27Josh Bilicki,7.9,4700
6/27/2020,Harrison Burton,2020-06-27Harrison Burton,43,11100
6/27/2020,Myatt Snider,2020-06-27Myatt Snider,24.9,9000
6/27/2020,Noah Gragson,2020-06-27Noah Gragson,54,9800
6/27/2020,Alex Labbe,2020-06-27Alex Labbe,30.5,9200
6/27/2020,Chase Briscoe,2020-06-27Chase Briscoe,51.1,10000
6/27/2020,Quin Houff,2020-06-27Quin Houff,12.8,4800
6/27/2020,Todd Gilliland,2020-06-27Todd Gilliland,35.1,10300
6/27/2020,Chad Finchum,2020-06-27Chad Finchum,21.7,6300
6/27/2020,Ty Majeski,2020-06-27Ty Majeski,24.5,7100
6/27/2020,Ray Ciccarelli,2020-06-27Ray Ciccarelli,21,4900
6/27/2020,Vinnie Miller,2020-06-27Vinnie Miller,21.1,5500
6/27/2020,Bayley Currey,2020-06-27Bayley Currey,24.4,6700
6/27/2020,Robby Lyons,2020-06-27Robby Lyons,0,6700
6/27/2020,Spencer Davis,2020-06-27Spencer Davis,27.4,9000
6/27/2020,Cory Roper,2020-06-27Cory Roper,19.1,5200
6/27/2020,Christian Eckes,2020-06-27Christian Eckes,24,8200
6/27/2020,Riley Herbst,2020-06-27Riley Herbst,20.4,7700
6/27/2020,Tate Fogleman,2020-06-27Tate Fogleman,17.5,5800
6/27/2020,Zane Smith,2020-06-27Zane Smith,34,8600
6/27/2020,Stefan Parsons,2020-06-27Stefan Parsons,14.8,6100
6/27/2020,Codie Rohrbaugh,2020-06-27Codie Rohrbaugh,25.2,5400
6/27/2020,Jesse Iwuji,2020-06-27Jesse Iwuji,-20,5300
6/27/2020,Chase Purdy,2020-06-27Chase Purdy,0,5900
6/27/2020,Tyler Ankrum,2020-06-27Tyler Ankrum,23,9500
6/27/2020,Derek Kraus,2020-06-27Derek Kraus,34.2,7000
6/27/2020,Tyler Hill,2020-06-27Tyler Hill,21,6100
6/27/2020,Raphael Lessard,2020-06-27Raphael Lessard,20.2,8800
6/27/2020,Joe Graf Jr,2020-06-27Joe Graf Jr,21.1,5700
6/27/2020,Ryan Vargas,2020-06-27Ryan Vargas,0,7100
6/27/2020,Carson Ware,2020-06-27Carson Ware,3.3,4600
6/27/2020,Tanner Gray,2020-06-27Tanner Gray,29.3,6300
6/27/2020,Kody Vanderwal,2020-06-27Kody Vanderwal,11.9,5000
6/28/2020,Justin Allgaier,2020-06-28Justin Allgaier,36,10700
6/28/2020,Aric Almirola,2020-06-28Aric Almirola,30.6,7200
6/28/2020,Norm Benning,2020-06-28Norm Benning,12,5100
6/28/2020,Clint Bowyer,2020-06-28Clint Bowyer,33.3,9000
6/28/2020,Kurt Busch,2020-06-28Kurt Busch,36,8300
6/28/2020,Kyle Busch,2020-06-28Kyle Busch,34,11000
6/28/2020,Jeremy Clements,2020-06-28Jeremy Clements,22.8,8600
6/28/2020,Jennifer Jo Cobb,2020-06-28Jennifer Jo Cobb,17.8,4800
6/28/2020,Matt Crafton,2020-06-28Matt Crafton,26.3,9700
6/28/2020,Jeff Green,2020-06-28Jeff Green,12.3,5900
6/28/2020,Denny Hamlin,2020-06-28Denny Hamlin,49.1,10200
6/28/2020,Kevin Harvick,2020-06-28Kevin Harvick,57.9,10700
6/28/2020,Jimmie Johnson,2020-06-28Jimmie Johnson,38.5,9200
6/28/2020,Matt Kenseth,2020-06-28Matt Kenseth,18,7900
6/28/2020,Brad Keselowski,2020-06-28Brad Keselowski,45.3,9600
6/28/2020,Stephen Leicht,2020-06-28Stephen Leicht,6.3,4500
6/28/2020,Ryan Newman,2020-06-28Ryan Newman,29.2,6300
6/28/2020,Johnny Sauter,2020-06-28Johnny Sauter,37.6,9900
6/28/2020,Martin Truex Jr,2020-06-28Martin Truex Jr,42,9800
6/28/2020,JJ Yeley,2020-06-28JJ Yeley,12.7,5000
6/28/2020,Dexter Bean,2020-06-28Dexter Bean,0,4700
6/28/2020,Michael McDowell,2020-06-28Michael McDowell,31.9,5500
6/28/2020,Joey Logano,2020-06-28Joey Logano,39.2,9400
6/28/2020,Michael Annett,2020-06-28Michael Annett,26,8100
6/28/2020,Austin Dillon,2020-06-28Austin Dillon,30.3,6000
6/28/2020,Ryan Sieg,2020-06-28Ryan Sieg,24.1,7500
6/28/2020,Ricky Stenhouse Jr,2020-06-28Ricky Stenhouse Jr,28.2,8100
6/28/2020,Jeffrey Earnhardt,2020-06-28Jeffrey Earnhardt,25.9,7000
6/28/2020,Tommy Joe Martins,2020-06-28Tommy Joe Martins,28.7,7900
6/28/2020,Parker Kligerman,2020-06-28Parker Kligerman,0,7300
6/28/2020,Matt DiBenedetto,2020-06-28Matt DiBenedetto,30.6,7800
6/28/2020,Clay Greenfield,2020-06-28Clay Greenfield,24.3,8000
6/28/2020,BJ McLeod,2020-06-28BJ McLeod,20.7,4600
6/28/2020,Grant Enfinger,2020-06-28Grant Enfinger,30.9,7800
6/28/2020,Timmy Hill,2020-06-28Timmy Hill,26.3,4800
6/28/2020,Chris Buescher,2020-06-28Chris Buescher,31.8,6400
6/28/2020,Ross Chastain,2020-06-28Ross Chastain,40.3,11500
6/28/2020,Joey Gase,2020-06-28Joey Gase,11.3,4700
6/28/2020,Ty Dillon,2020-06-28Ty Dillon,24.7,7000
6/28/2020,Ryan Blaney,2020-06-28Ryan Blaney,42.3,10000
6/28/2020,Bubba Wallace,2020-06-28Bubba Wallace,31.3,7300
6/28/2020,Brett Moffitt,2020-06-28Brett Moffitt,31.8,10600
6/28/2020,Alex Bowman,2020-06-28Alex Bowman,33.5,8500
6/28/2020,Erik Jones,2020-06-28Erik Jones,31.7,7400
6/28/2020,Chase Elliott,2020-06-28Chase Elliott,42.9,10400
6/28/2020,Tyler Reddick,2020-06-28Tyler Reddick,30.9,7600
6/28/2020,Ryan Preece,2020-06-28Ryan Preece,21,5800
6/28/2020,Brandon Jones,2020-06-28Brandon Jones,35.3,10100
6/28/2020,John H. Nemechek,2020-06-28John H. Nemechek,28.1,6100
6/28/2020,Daniel Hemric,2020-06-28Daniel Hemric,26.6,9400
6/28/2020,Corey Lajoie,2020-06-28Corey Lajoie,25.5,5600
6/28/2020,Josh Reaume,2020-06-28Josh Reaume,18.5,4700
6/28/2020,Cole Custer,2020-06-28Cole Custer,23.5,6600
6/28/2020,Josh Williams,2020-06-28Josh Williams,29.4,8800
6/28/2020,Ben Rhodes,2020-06-28Ben Rhodes,28.4,8400
6/28/2020,Korbin Forrister,2020-06-28Korbin Forrister,18,6600
6/28/2020,Daniel Suarez,2020-06-28Daniel Suarez,24.3,6800
6/28/2020,Brandon Brown,2020-06-28Brandon Brown,27,7300
6/28/2020,Bryan Dauzat,2020-06-28Bryan Dauzat,7.2,4600
6/28/2020,Austin Hill,2020-06-28Austin Hill,47.7,9200
6/28/2020,Jordan Anderson,2020-06-28Jordan Anderson,16.2,6900
6/28/2020,Garrett Smithley,2020-06-28Garrett Smithley,9.5,4900
6/28/2020,Brennan Poole,2020-06-28Brennan Poole,28.4,5300
6/28/2020,Jesse Little,2020-06-28Jesse Little,23.6,4900
6/28/2020,Timothy Viens,2020-06-28Timothy Viens,0,4500
6/28/2020,Christopher Bell,2020-06-28Christopher Bell,30.8,8800
6/28/2020,Justin Haley,2020-06-28Justin Haley,33.6,8400
6/28/2020,Austin Cindric,2020-06-28Austin Cindric,43.9,10200
6/28/2020,William Byron,2020-06-28William Byron,29.3,8600
6/28/2020,Kyle Weatherman,2020-06-28Kyle Weatherman,9.1,5300
6/28/2020,Austin Wayne Self,2020-06-28Austin Wayne Self,23.3,6500
6/28/2020,Spencer Boyd,2020-06-28Spencer Boyd,24,5000
6/28/2020,Natalie Decker,2020-06-28Natalie Decker,32.8,5600
6/28/2020,Sheldon Creed,2020-06-28Sheldon Creed,32.4,7700
6/28/2020,Stewart Friesen,2020-06-28Stewart Friesen,29.5,10900
6/28/2020,Matt Mills,2020-06-28Matt Mills,16.3,6500
6/28/2020,James Davison,2020-06-28James Davison,11,5200
6/28/2020,Josh Bilicki,2020-06-28Josh Bilicki,10.3,4500
6/28/2020,Harrison Burton,2020-06-28Harrison Burton,43,11100
6/28/2020,Myatt Snider,2020-06-28Myatt Snider,24.9,9000
6/28/2020,Noah Gragson,2020-06-28Noah Gragson,54,9800
6/28/2020,Alex Labbe,2020-06-28Alex Labbe,30.5,9200
6/28/2020,Chase Briscoe,2020-06-28Chase Briscoe,51.1,10000
6/28/2020,Quin Houff,2020-06-28Quin Houff,11.7,5100
6/28/2020,Todd Gilliland,2020-06-28Todd Gilliland,35.1,10300
6/28/2020,Chad Finchum,2020-06-28Chad Finchum,21.7,6300
6/28/2020,Ty Majeski,2020-06-28Ty Majeski,24.5,7100
6/28/2020,Ray Ciccarelli,2020-06-28Ray Ciccarelli,21,4900
6/28/2020,Vinnie Miller,2020-06-28Vinnie Miller,21.1,5500
6/28/2020,Bayley Currey,2020-06-28Bayley Currey,24.4,6700
6/28/2020,Robby Lyons,2020-06-28Robby Lyons,0,6700
6/28/2020,Spencer Davis,2020-06-28Spencer Davis,27.4,9000
6/28/2020,Cory Roper,2020-06-28Cory Roper,19.1,5200
6/28/2020,Christian Eckes,2020-06-28Christian Eckes,24,8200
6/28/2020,Riley Herbst,2020-06-28Riley Herbst,20.4,7700
6/28/2020,Tate Fogleman,2020-06-28Tate Fogleman,17.5,5800
6/28/2020,Zane Smith,2020-06-28Zane Smith,34,8600
6/28/2020,Stefan Parsons,2020-06-28Stefan Parsons,14.8,6100
6/28/2020,Codie Rohrbaugh,2020-06-28Codie Rohrbaugh,25.2,5400
6/28/2020,Jesse Iwuji,2020-06-28Jesse Iwuji,-20,5300
6/28/2020,Chase Purdy,2020-06-28Chase Purdy,0,5900
6/28/2020,Tyler Ankrum,2020-06-28Tyler Ankrum,23,9500
6/28/2020,Derek Kraus,2020-06-28Derek Kraus,34.2,7000
6/28/2020,Tyler Hill,2020-06-28Tyler Hill,21,6100
6/28/2020,Raphael Lessard,2020-06-28Raphael Lessard,20.2,8800
6/28/2020,Joe Graf Jr,2020-06-28Joe Graf Jr,21.1,5700
6/28/2020,Ryan Vargas,2020-06-28Ryan Vargas,0,7100
6/28/2020,Carson Ware,2020-06-28Carson Ware,3.3,4600
6/28/2020,Tanner Gray,2020-06-28Tanner Gray,29.3,6300
6/28/2020,Kody Vanderwal,2020-06-28Kody Vanderwal,11.9,5000
7/5/2020,Justin Allgaier,2020-07-05Justin Allgaier,0,6600
7/5/2020,Aric Almirola,2020-07-05Aric Almirola,31.9,7400
7/5/2020,Clint Bowyer,2020-07-05Clint Bowyer,33.8,9000
7/5/2020,Kurt Busch,2020-07-05Kurt Busch,35.9,7500
7/5/2020,Kyle Busch,2020-07-05Kyle Busch,31.3,10400
7/5/2020,Denny Hamlin,2020-07-05Denny Hamlin,51.3,10100
7/5/2020,Kevin Harvick,2020-07-05Kevin Harvick,58.7,11000
7/5/2020,Jimmie Johnson,2020-07-05Jimmie Johnson,38.1,8500
7/5/2020,Matt Kenseth,2020-07-05Matt Kenseth,19.1,7900
7/5/2020,Brad Keselowski,2020-07-05Brad Keselowski,45.5,9800
7/5/2020,Ryan Newman,2020-07-05Ryan Newman,28.1,5900
7/5/2020,Martin Truex Jr,2020-07-05Martin Truex Jr,41.9,9600
7/5/2020,JJ Yeley,2020-07-05JJ Yeley,13.1,4900
7/5/2020,Michael McDowell,2020-07-05Michael McDowell,28.5,5700
7/5/2020,Joey Logano,2020-07-05Joey Logano,38.8,9200
7/5/2020,Austin Dillon,2020-07-05Austin Dillon,29.6,6700
7/5/2020,Ricky Stenhouse Jr,2020-07-05Ricky Stenhouse Jr,27.5,7200
7/5/2020,Matt DiBenedetto,2020-07-05Matt DiBenedetto,31.2,8300
7/5/2020,BJ McLeod,2020-07-05BJ McLeod,11.3,5000
7/5/2020,Timmy Hill,2020-07-05Timmy Hill,15.2,5300
7/5/2020,Chris Buescher,2020-07-05Chris Buescher,28.8,6500
7/5/2020,Ross Chastain,2020-07-05Ross Chastain,24.3,6400
7/5/2020,Joey Gase,2020-07-05Joey Gase,11.5,4500
7/5/2020,Ty Dillon,2020-07-05Ty Dillon,24.7,6800
7/5/2020,Ryan Blaney,2020-07-05Ryan Blaney,41.1,9400
7/5/2020,Bubba Wallace,2020-07-05Bubba Wallace,31,7000
7/5/2020,Alex Bowman,2020-07-05Alex Bowman,34.7,8000
7/5/2020,Erik Jones,2020-07-05Erik Jones,34.4,8100
7/5/2020,Chase Elliott,2020-07-05Chase Elliott,44,10700
7/5/2020,Tyler Reddick,2020-07-05Tyler Reddick,29.3,7700
7/5/2020,Ryan Preece,2020-07-05Ryan Preece,19.3,5800
7/5/2020,John H. Nemechek,2020-07-05John H. Nemechek,28.2,5400
7/5/2020,Corey Lajoie,2020-07-05Corey Lajoie,25.5,5500
7/5/2020,Cole Custer,2020-07-05Cole Custer,23,6300
7/5/2020,Daniel Suarez,2020-07-05Daniel Suarez,24,6100
7/5/2020,Garrett Smithley,2020-07-05Garrett Smithley,9.8,4700
7/5/2020,Brennan Poole,2020-07-05Brennan Poole,16.8,4600
7/5/2020,Christopher Bell,2020-07-05Christopher Bell,27.8,11500
7/5/2020,William Byron,2020-07-05William Byron,29.8,8700
7/5/2020,Josh Bilicki,2020-07-05Josh Bilicki,9.9,5100
7/5/2020,Quin Houff,2020-07-05Quin Houff,12.4,4800
7/12/2020,Aric Almirola,2020-07-12Aric Almirola,32.7,7300
7/12/2020,Clint Bowyer,2020-07-12Clint Bowyer,33.8,9400
7/12/2020,Kurt Busch,2020-07-12Kurt Busch,35,7600
7/12/2020,Kyle Busch,2020-07-12Kyle Busch,31.7,10100
7/12/2020,Denny Hamlin,2020-07-12Denny Hamlin,49,10900
7/12/2020,Kevin Harvick,2020-07-12Kevin Harvick,60.3,11600
7/12/2020,Jimmie Johnson,2020-07-12Jimmie Johnson,38.1,8800
7/12/2020,Matt Kenseth,2020-07-12Matt Kenseth,23.1,8000
7/12/2020,Brad Keselowski,2020-07-12Brad Keselowski,45.5,9000
7/12/2020,Ryan Newman,2020-07-12Ryan Newman,25.6,6100
7/12/2020,Martin Truex Jr,2020-07-12Martin Truex Jr,38.2,9200
7/12/2020,JJ Yeley,2020-07-12JJ Yeley,14.5,5100
7/12/2020,Michael McDowell,2020-07-12Michael McDowell,30.2,5700
7/12/2020,Joey Logano,2020-07-12Joey Logano,38.3,9600
7/12/2020,Austin Dillon,2020-07-12Austin Dillon,29.3,6500
7/12/2020,Ricky Stenhouse Jr,2020-07-12Ricky Stenhouse Jr,25.7,7100
7/12/2020,Matt DiBenedetto,2020-07-12Matt DiBenedetto,30.6,7800
7/12/2020,Timmy Hill,2020-07-12Timmy Hill,15.8,5200
7/12/2020,Chris Buescher,2020-07-12Chris Buescher,27.3,5900
7/12/2020,Joey Gase,2020-07-12Joey Gase,11.9,5000
7/12/2020,Ty Dillon,2020-07-12Ty Dillon,25.9,6700
7/12/2020,Ryan Blaney,2020-07-12Ryan Blaney,38.5,9800
7/12/2020,Bubba Wallace,2020-07-12Bubba Wallace,31.8,7000
7/12/2020,Alex Bowman,2020-07-12Alex Bowman,32,7400
7/12/2020,Erik Jones,2020-07-12Erik Jones,32.5,8400
7/12/2020,Chase Elliott,2020-07-12Chase Elliott,44.3,10500
7/12/2020,Tyler Reddick,2020-07-12Tyler Reddick,30.1,8200
7/12/2020,Ryan Preece,2020-07-12Ryan Preece,18.2,6300
7/12/2020,John H. Nemechek,2020-07-12John H. Nemechek,28.5,5300
7/12/2020,Corey Lajoie,2020-07-12Corey Lajoie,23.8,5500
7/12/2020,Cole Custer,2020-07-12Cole Custer,25.4,6900
7/12/2020,Daniel Suarez,2020-07-12Daniel Suarez,25.1,6400
7/12/2020,Garrett Smithley,2020-07-12Garrett Smithley,10.8,4500
7/12/2020,Brennan Poole,2020-07-12Brennan Poole,15.8,4900
7/12/2020,Christopher Bell,2020-07-12Christopher Bell,29.5,11200
7/12/2020,William Byron,2020-07-12William Byron,29,8600
7/12/2020,Josh Bilicki,2020-07-12Josh Bilicki,13.2,4600
7/12/2020,Quin Houff,2020-07-12Quin Houff,13.5,4700
