PG,SG,SF,PF,C,G,F,UTIL,,Instructions,,,,,,,,
16363257,16363105,16363145,16363263,16363244,16363218,16363370,16363188,,1. Locate the player you want to select in the list below ,,,,,,,,
16363180,16363105,16363145,16363370,16363244,16363218,16363267,16363109,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) ,,,,,,,,
16363105,16363392,16363145,16363263,16363109,16363218,16363370,16363167,,3. Paste the ID into the roster position desired ,,,,,,,,
16363180,16363105,16363138,16363370,16363244,16363218,16363117,16363167,,4. You must include an ID for each player; you cannot use just the player's name ,,,,,,,,
16363180,16363218,16363145,16363263,16363370,16363156,16363267,16363257,,5. You can create up to 500 lineups per file ,,,,,,,,
16363361,16363105,16363267,16363263,16363115,16363208,16363370,16363392,,,,,,,,,,
16363156,16363208,16363197,16363263,16363115,16363218,16363370,16363244,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
16363105,16363392,16363145,16363263,16363115,16363329,16363370,16363188,,PG/SG,James Harden (16363105),James Harden,16363105,PG/SG/G/UTIL,10400,IND@BKN 02/10/2021 08:00PM ET,BKN,54.2
16363105,16363392,16363138,16363263,16363244,16363267,16363370,16363117,,PF/C,Kevin Durant (16363093),Kevin Durant,16363093,PF/C/F/UTIL,9800,IND@BKN 02/10/2021 08:00PM ET,BKN,50.97
16363180,16363105,16363145,16363370,16363115,16363287,16363385,16363109,,C,Karl-Anthony Towns (16363216),Karl-Anthony Towns,16363216,C/UTIL,9700,LAC@MIN 02/10/2021 08:00PM ET,MIN,51.5
16363105,16363329,16363138,16363263,16363115,16363218,16363370,16363131,,SF,Kawhi Leonard (16363145),Kawhi Leonard,16363145,SF/F/UTIL,9400,LAC@MIN 02/10/2021 08:00PM ET,LAC,45.92
16363180,16363392,16363138,16363370,16363115,16363156,16363117,16363244,,PG,Kyrie Irving (16363156),Kyrie Irving,16363156,PG/G/UTIL,9100,IND@BKN 02/10/2021 08:00PM ET,BKN,45.81
16363180,16363218,16363145,16363263,16363370,16363319,16363138,16363131,,SG,Paul George (16363135),Paul George,16363135,SG/G/UTIL,8800,LAC@MIN 02/10/2021 08:00PM ET,LAC,43.88
16363105,16363218,16363138,16363263,16363370,16363319,16363197,16363117,,PF/C,Domantas Sabonis (16363263),Domantas Sabonis,16363263,PF/C/F/UTIL,8600,IND@BKN 02/10/2021 08:00PM ET,IND,46.56
16363257,16363105,16363145,16363263,16363167,16363287,16363370,16363197,,PG,LaMelo Ball (16363428),LaMelo Ball,16363428,PG/G/UTIL,8500,CHA@MEM 02/10/2021 08:00PM ET,CHA,34.24
16363180,16363105,16363197,16363370,16363244,16363428,16363267,16363392,,SF/PF,Gordon Hayward (16363138),Gordon Hayward,16363138,SF/PF/F/UTIL,7700,CHA@MEM 02/10/2021 08:00PM ET,CHA,38.97
16363180,16363392,16363267,16363263,16363115,16363156,16363370,16363176,,PG,Malcolm Brogdon (16363180),Malcolm Brogdon,16363180,PG/G/UTIL,7400,IND@BKN 02/10/2021 08:00PM ET,IND,40.23
16363180,16363105,16363117,16363370,16363115,16363361,16363267,16363244,,C,Jonas Valanciunas (16363176),Jonas Valanciunas,16363176,C/UTIL,7400,CHA@MEM 02/10/2021 08:00PM ET,MEM,35.96
16363180,16363105,16363138,16363370,16363115,16363319,16363131,16363244,,PG,Caris LeVert (16363205),Caris LeVert,16363205,PG/G/UTIL,7300,IND@BKN 02/10/2021 08:00PM ET,IND,36.17
16363126,16363105,16363197,16363263,16363115,16363319,16363370,16363244,,PG,Ja Morant (16363361),Ja Morant,16363361,PG/G/UTIL,7300,CHA@MEM 02/10/2021 08:00PM ET,MEM,34.5
,,,,,,,,,SG,Malik Beasley (16363275),Malik Beasley,16363275,SG/G/UTIL,7000,LAC@MIN 02/10/2021 08:00PM ET,MIN,33.5
,,,,,,,,,PG,D'Angelo Russell (16363254),D'Angelo Russell,16363254,PG/G/UTIL,6800,LAC@MIN 02/10/2021 08:00PM ET,MIN,33.48
,,,,,,,,,PF/C,Jaren Jackson Jr. (16363381),Jaren Jackson Jr.,16363381,PF/C/F/UTIL,6700,CHA@MEM 02/10/2021 08:00PM ET,MEM,0
,,,,,,,,,PG,Devonte' Graham (16363241),Devonte' Graham,16363241,PG/G/UTIL,6300,CHA@MEM 02/10/2021 08:00PM ET,CHA,30.08
,,,,,,,,,C,Naz Reid (16363405),Naz Reid,16363405,C/UTIL,6300,LAC@MIN 02/10/2021 08:00PM ET,MIN,24.66
,,,,,,,,,PG/SG,Terry Rozier (16363208),Terry Rozier,16363208,PG/SG/G/UTIL,6200,CHA@MEM 02/10/2021 08:00PM ET,CHA,32.21
,,,,,,,,,SG/SF,Anthony Edwards (16363420),Anthony Edwards,16363420,SG/SF/F/G/UTIL,6200,LAC@MIN 02/10/2021 08:00PM ET,MIN,23.67
,,,,,,,,,SG/SF,Joe Harris (16363151),Joe Harris,16363151,SG/SF/F/G/UTIL,6000,IND@BKN 02/10/2021 08:00PM ET,BKN,24.88
,,,,,,,,,C,Myles Turner (16363244),Myles Turner,16363244,C/UTIL,6000,IND@BKN 02/10/2021 08:00PM ET,IND,33.66
,,,,,,,,,C,Cody Zeller (16363183),Cody Zeller,16363183,C/UTIL,5900,CHA@MEM 02/10/2021 08:00PM ET,CHA,26.06
,,,,,,,,,PG,Ricky Rubio (16363142),Ricky Rubio,16363142,PG/G/UTIL,5800,LAC@MIN 02/10/2021 08:00PM ET,MIN,21.22
,,,,,,,,,PF/C,Brandon Clarke (16363296),Brandon Clarke,16363296,PF/C/F/UTIL,5700,CHA@MEM 02/10/2021 08:00PM ET,MEM,26.96
,,,,,,,,,SF/PF,Miles Bridges (16363350),Miles Bridges,16363350,SF/PF/F/UTIL,5700,CHA@MEM 02/10/2021 08:00PM ET,CHA,22.7
,,,,,,,,,PF/C,Jeff Green (16363085),Jeff Green,16363085,PF/C/F/UTIL,5600,IND@BKN 02/10/2021 08:00PM ET,BKN,17.8
,,,,,,,,,PF,T.J. Warren (16363194),T.J. Warren,16363194,PF/F/UTIL,5600,IND@BKN 02/10/2021 08:00PM ET,IND,22.25
,,,,,,,,,SF/PF,Kyle Anderson (16363197),Kyle Anderson,16363197,SF/PF/F/UTIL,5600,CHA@MEM 02/10/2021 08:00PM ET,MEM,29.59
,,,,,,,,,SG/SF,Justin Holiday (16363100),Justin Holiday,16363100,SG/SF/F/G/UTIL,5500,IND@BKN 02/10/2021 08:00PM ET,IND,22.83
,,,,,,,,,SG,Dillon Brooks (16363272),Dillon Brooks,16363272,SG/G/UTIL,5500,CHA@MEM 02/10/2021 08:00PM ET,MEM,27.3
,,,,,,,,,PG/SG,Lou Williams (16363089),Lou Williams,16363089,PG/SG/G/UTIL,5500,LAC@MIN 02/10/2021 08:00PM ET,LAC,19.52
,,,,,,,,,SG/SF,Jeremy Lamb (16363162),Jeremy Lamb,16363162,SG/SF/F/G/UTIL,5400,IND@BKN 02/10/2021 08:00PM ET,IND,24.46
,,,,,,,,,C,Serge Ibaka (16363115),Serge Ibaka,16363115,C/UTIL,5400,LAC@MIN 02/10/2021 08:00PM ET,LAC,26.03
,,,,,,,,,PG,T.J. McConnell (16363159),T.J. McConnell,16363159,PG/G/UTIL,5300,IND@BKN 02/10/2021 08:00PM ET,IND,21.6
,,,,,,,,,PF/C,PJ Washington (16363370),PJ Washington,16363370,PF/C/F/UTIL,5300,CHA@MEM 02/10/2021 08:00PM ET,CHA,28.63
,,,,,,,,,PG,Reggie Jackson (16363126),Reggie Jackson,16363126,PG/G/UTIL,5300,LAC@MIN 02/10/2021 08:00PM ET,LAC,17.46
,,,,,,,,,SF/PF,Nicolas Batum (16363117),Nicolas Batum,16363117,SF/PF/F/UTIL,5200,LAC@MIN 02/10/2021 08:00PM ET,LAC,23.65
,,,,,,,,,C,Ivica Zubac (16363313),Ivica Zubac,16363313,C/UTIL,5100,LAC@MIN 02/10/2021 08:00PM ET,LAC,20.13
,,,,,,,,,SG,Malik Monk (16363354),Malik Monk,16363354,SG/G/UTIL,5000,CHA@MEM 02/10/2021 08:00PM ET,CHA,17.23
,,,,,,,,,PG,Patrick Beverley (16363097),Patrick Beverley,16363097,PG/G/UTIL,4900,LAC@MIN 02/10/2021 08:00PM ET,LAC,20.83
,,,,,,,,,SF/PF,Doug McDermott (16363169),Doug McDermott,16363169,SF/PF/F/UTIL,4800,IND@BKN 02/10/2021 08:00PM ET,IND,21.24
,,,,,,,,,PG,Tyus Jones (16363223),Tyus Jones,16363223,PG/G/UTIL,4600,CHA@MEM 02/10/2021 08:00PM ET,MEM,23.54
,,,,,,,,,C,DeAndre Jordan (16363109),DeAndre Jordan,16363109,C/UTIL,4500,IND@BKN 02/10/2021 08:00PM ET,BKN,20.49
,,,,,,,,,PF/C,Xavier Tillman (16363385),Xavier Tillman,16363385,PF/C/F/UTIL,4500,CHA@MEM 02/10/2021 08:00PM ET,MEM,20.32
,,,,,,,,,SF/PF,Marcus Morris Sr. (16363131),Marcus Morris Sr.,16363131,SF/PF/F/UTIL,4500,LAC@MIN 02/10/2021 08:00PM ET,LAC,19.27
,,,,,,,,,SG/SF,Bruce Brown (16363324),Bruce Brown,16363324,SG/SF/F/G/UTIL,4400,IND@BKN 02/10/2021 08:00PM ET,BKN,15.19
,,,,,,,,,PG/SG,De'Anthony Melton (16363337),De'Anthony Melton,16363337,PG/SG/G/UTIL,4400,CHA@MEM 02/10/2021 08:00PM ET,MEM,22.42
,,,,,,,,,SF/PF,Timothe Luwawu-Cabarrot (16363309),Timothe Luwawu-Cabarrot,16363309,SF/PF/F/UTIL,4300,IND@BKN 02/10/2021 08:00PM ET,BKN,14.18
,,,,,,,,,SG/SF,Luke Kennard (16363291),Luke Kennard,16363291,SG/SF/F/G/UTIL,4300,LAC@MIN 02/10/2021 08:00PM ET,LAC,15.92
,,,,,,,,,C,Gorgui Dieng (16363167),Gorgui Dieng,16363167,C/UTIL,4200,CHA@MEM 02/10/2021 08:00PM ET,MEM,20.59
,,,,,,,,,SG/SF,Desmond Bane (16363329),Desmond Bane,16363329,SG/SF/F/G/UTIL,4100,CHA@MEM 02/10/2021 08:00PM ET,MEM,17.53
,,,,,,,,,PF/C,Jarred Vanderbilt (16363364),Jarred Vanderbilt,16363364,PF/C/F/UTIL,4100,LAC@MIN 02/10/2021 08:00PM ET,MIN,20.07
,,,,,,,,,PF,Juancho Hernangomez (16363306),Juancho Hernangomez,16363306,PF/F/UTIL,4000,LAC@MIN 02/10/2021 08:00PM ET,MIN,15.33
,,,,,,,,,SG,Landry Shamet (16363300),Landry Shamet,16363300,SG/G/UTIL,3800,IND@BKN 02/10/2021 08:00PM ET,BKN,12
,,,,,,,,,SG/SF,Grayson Allen (16363218),Grayson Allen,16363218,SG/SF/F/G/UTIL,3800,CHA@MEM 02/10/2021 08:00PM ET,MEM,17.39
,,,,,,,,,PG/SG,Jaylen Nowell (16363392),Jaylen Nowell,16363392,PG/SG/G/UTIL,3800,LAC@MIN 02/10/2021 08:00PM ET,MIN,16.7
,,,,,,,,,PG,Tyler Johnson (16363173),Tyler Johnson,16363173,PG/G/UTIL,3500,IND@BKN 02/10/2021 08:00PM ET,BKN,5.47
,,,,,,,,,SF/PF,Jake Layman (16363201),Jake Layman,16363201,SF/PF/F/UTIL,3400,LAC@MIN 02/10/2021 08:00PM ET,MIN,11.66
,,,,,,,,,PG,Jordan McLaughlin (16363257),Jordan McLaughlin,16363257,PG/G/UTIL,3400,LAC@MIN 02/10/2021 08:00PM ET,MIN,15.48
,,,,,,,,,PG/SG,Terance Mann (16363278),Terance Mann,16363278,PG/SG/G/UTIL,3400,LAC@MIN 02/10/2021 08:00PM ET,LAC,9.46
,,,,,,,,,SG/SF,Caleb Martin (16363231),Caleb Martin,16363231,SG/SF/F/G/UTIL,3300,CHA@MEM 02/10/2021 08:00PM ET,CHA,13.43
,,,,,,,,,SG/SF,Josh Okogie (16363319),Josh Okogie,16363319,SG/SF/F/G/UTIL,3300,LAC@MIN 02/10/2021 08:00PM ET,MIN,12.76
,,,,,,,,,PF,Jaden McDaniels (16363425),Jaden McDaniels,16363425,PF/F/UTIL,3300,LAC@MIN 02/10/2021 08:00PM ET,MIN,12.76
,,,,,,,,,SF,Jarrett Culver (16363389),Jarrett Culver,16363389,SF/F/UTIL,3200,LAC@MIN 02/10/2021 08:00PM ET,MIN,17.59
,,,,,,,,,PG/SG,Aaron Holiday (16363287),Aaron Holiday,16363287,PG/SG/G/UTIL,3100,IND@BKN 02/10/2021 08:00PM ET,IND,12.96
,,,,,,,,,PF/C,Reggie Perry (16363401),Reggie Perry,16363401,PF/C/F/UTIL,3100,IND@BKN 02/10/2021 08:00PM ET,BKN,10.2
,,,,,,,,,C,Bismack Biyombo (16363178),Bismack Biyombo,16363178,C/UTIL,3100,CHA@MEM 02/10/2021 08:00PM ET,CHA,18.36
,,,,,,,,,SG/SF,Iman Shumpert (16363121),Iman Shumpert,16363121,SG/SF/F/G/UTIL,3000,IND@BKN 02/10/2021 08:00PM ET,BKN,0
,,,,,,,,,SG,Spencer Dinwiddie (16363185),Spencer Dinwiddie,16363185,SG/G/UTIL,3000,IND@BKN 02/10/2021 08:00PM ET,BKN,18.08
,,,,,,,,,C,Norvel Pelle (16363188),Norvel Pelle,16363188,C/UTIL,3000,IND@BKN 02/10/2021 08:00PM ET,BKN,9
,,,,,,,,,PF/C,Jakarr Sampson (16363190),Jakarr Sampson,16363190,PF/C/F/UTIL,3000,IND@BKN 02/10/2021 08:00PM ET,IND,6.32
,,,,,,,,,PF/C,Noah Vonleh (16363212),Noah Vonleh,16363212,PF/C/F/UTIL,3000,IND@BKN 02/10/2021 08:00PM ET,BKN,0
,,,,,,,,,SF/PF,Kelan Martin (16363246),Kelan Martin,16363246,SF/PF/F/UTIL,3000,IND@BKN 02/10/2021 08:00PM ET,IND,2.75
,,,,,,,,,PG/SG,Edmond Sumner (16363250),Edmond Sumner,16363250,PG/SG/G/UTIL,3000,IND@BKN 02/10/2021 08:00PM ET,IND,8.21
,,,,,,,,,PG,Chris Chiozza (16363260),Chris Chiozza,16363260,PG/G/UTIL,3000,IND@BKN 02/10/2021 08:00PM ET,BKN,10.05
,,,,,,,,,PF/C,Nicolas Claxton (16363357),Nicolas Claxton,16363357,PF/C/F/UTIL,3000,IND@BKN 02/10/2021 08:00PM ET,BKN,0
,,,,,,,,,SF,Brian Bowen II (16363374),Brian Bowen II,16363374,SF/F/UTIL,3000,IND@BKN 02/10/2021 08:00PM ET,IND,4.25
,,,,,,,,,C,Goga Bitadze (16363407),Goga Bitadze,16363407,C/UTIL,3000,IND@BKN 02/10/2021 08:00PM ET,IND,10.9
,,,,,,,,,PG/SG,Jalen Lecque (16363409),Jalen Lecque,16363409,PG/SG/G/UTIL,3000,IND@BKN 02/10/2021 08:00PM ET,IND,4.33
,,,,,,,,,SG/SF,Cassius Stanley (16363415),Cassius Stanley,16363415,SG/SF/F/G/UTIL,3000,IND@BKN 02/10/2021 08:00PM ET,IND,2.09
,,,,,,,,,PG,Tim Frazier (16363148),Tim Frazier,16363148,PG/G/UTIL,3000,CHA@MEM 02/10/2021 08:00PM ET,MEM,6.67
,,,,,,,,,PG/SF,Justise Winslow (16363226),Justise Winslow,16363226,PG/SF/F/G/UTIL,3000,CHA@MEM 02/10/2021 08:00PM ET,MEM,0
,,,,,,,,,SG/SF,Cody Martin (16363236),Cody Martin,16363236,SG/SF/F/G/UTIL,3000,CHA@MEM 02/10/2021 08:00PM ET,CHA,6.88
,,,,,,,,,PG/SF,John Konchar (16363267),John Konchar,16363267,PG/SF/F/G/UTIL,3000,CHA@MEM 02/10/2021 08:00PM ET,MEM,15.8
,,,,,,,,,SG/SF,Sean McDermott (16363282),Sean McDermott,16363282,SG/SF/F/G/UTIL,3000,CHA@MEM 02/10/2021 08:00PM ET,MEM,4.75
,,,,,,,,,PG,Grant Riller (16363303),Grant Riller,16363303,PG/G/UTIL,3000,CHA@MEM 02/10/2021 08:00PM ET,CHA,0
,,,,,,,,,SG,Nate Darling (16363341),Nate Darling,16363341,SG/G/UTIL,3000,CHA@MEM 02/10/2021 08:00PM ET,CHA,0
,,,,,,,,,PF,Jalen McDaniels (16363344),Jalen McDaniels,16363344,PF/F/UTIL,3000,CHA@MEM 02/10/2021 08:00PM ET,CHA,7.47
,,,,,,,,,PF,Killian Tillie (16363347),Killian Tillie,16363347,PF/F/UTIL,3000,CHA@MEM 02/10/2021 08:00PM ET,MEM,0
,,,,,,,,,C,Nick Richards (16363368),Nick Richards,16363368,C/UTIL,3000,CHA@MEM 02/10/2021 08:00PM ET,CHA,2.25
,,,,,,,,,PF/C,Jontay Porter (16363377),Jontay Porter,16363377,PF/C/F/UTIL,3000,CHA@MEM 02/10/2021 08:00PM ET,MEM,0
,,,,,,,,,C,Vernon Carey Jr. (16363413),Vernon Carey Jr.,16363413,C/UTIL,3000,CHA@MEM 02/10/2021 08:00PM ET,CHA,3.42
,,,,,,,,,PF/C,Patrick Patterson (16363111),Patrick Patterson,16363111,PF/C/F/UTIL,3000,LAC@MIN 02/10/2021 08:00PM ET,LAC,8.72
,,,,,,,,,C,Ed Davis (16363129),Ed Davis,16363129,C/UTIL,3000,LAC@MIN 02/10/2021 08:00PM ET,MIN,12.09
,,,,,,,,,PF/C,Mfiondu Kabengele (16363315),Mfiondu Kabengele,16363315,PF/C/F/UTIL,3000,LAC@MIN 02/10/2021 08:00PM ET,LAC,2.73
,,,,,,,,,PG,Amir Coffey (16363334),Amir Coffey,16363334,PG/G/UTIL,3000,LAC@MIN 02/10/2021 08:00PM ET,LAC,3.14
,,,,,,,,,C,Daniel Oturu (16363396),Daniel Oturu,16363396,C/UTIL,3000,LAC@MIN 02/10/2021 08:00PM ET,LAC,4.85
,,,,,,,,,PG,Ashton Hagans (16363398),Ashton Hagans,16363398,PG/G/UTIL,3000,LAC@MIN 02/10/2021 08:00PM ET,MIN,-0.25
,,,,,,,,,SG,Jay Scrubb (16363431),Jay Scrubb,16363431,SG/G/UTIL,3000,LAC@MIN 02/10/2021 08:00PM ET,LAC,0
