first_name,last_name,position,injury_status,reg_line,pp_line,starting_goalie,game_date,slate,team,opp,spread,over_under,implied_team_score,salary,L5_dvp_rank,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection
Kaapo,Kahkonen,G,,2,,YES,1/20/2021,Late,MIN,ANA,-1.5,5.5,2.9,7600,8,1.4,15.7,32.8,14.9,1.96
Darcy,Kuemper,G,,1,,YES,1/20/2021,Late,ARI,VGK,1.5,5.5,2.3,7000,14,-4.2,9.8,36.3,14.4,2.06
Robin,Lehner,G,,1,,,1/20/2021,Late,VGK,ARI,-1.5,5.5,3.2,8500,9,3.5,9.5,20,14.2,1.67
Max,Pacioretty,W,,1,1,,1/20/2021,Late,VGK,ARI,-1.5,5.5,3.2,7500,31,3,14.5,22.5,14.1,1.88
Jordan,Binnington,G,,1,,YES,1/20/2021,Late,STL,SJS,-1.5,6,3.4,8300,13,-4.2,4.9,20.7,14,1.69
Braden,Holtby,G,,1,,,1/20/2021,Late,VAN,MTL,1.5,6,2.9,7600,6,2.1,12.1,15.8,13.8,1.82
Carey,Price,G,,1,,YES,1/20/2021,Late,MTL,VAN,-1.5,6,3.1,8000,27,-0.7,9.8,26.3,13.6,1.7
John,Gibson,G,,1,,,1/20/2021,Late,ANA,MIN,1.5,5.5,2.6,7300,25,-4.2,14.3,33.8,12.6,1.73
Brent,Burns,D,,x,1,,1/20/2021,Late,SJS,STL,1.5,6,2.6,6900,28,4.5,9.8,25.5,12.2,1.77
Alex,Pietrangelo,D,,x,1,,1/20/2021,Late,VGK,ARI,-1.5,5.5,3.2,6600,21,8.5,10.1,12.5,11.6,1.76
Mark,Stone,W,,1,1,,1/20/2021,Late,VGK,ARI,-1.5,5.5,3.2,6700,31,3.5,10.3,17,11.6,1.73
Tomas,Hertl,C,,2,1,,1/20/2021,Late,SJS,STL,1.5,6,2.6,6200,28,6,13.5,26.5,11.1,1.79
Jonathan,Marchessault,W,,2,2,,1/20/2021,Late,VGK,ARI,-1.5,5.5,3.2,5000,31,1,7.2,12.5,11.1,2.22
Martin,Jones,G,,2,,YES,1/20/2021,Late,SJS,STL,1.5,6,2.6,7100,20,-4.2,7.6,19.3,11,1.55
Shea,Weber,D,,x,1,,1/20/2021,Late,MTL,VAN,-1.5,6,3.1,6100,27,7,12.1,21,10.8,1.77
Elias,Pettersson,C,,1,1,,1/20/2021,Late,VAN,MTL,1.5,6,2.9,6400,22,1,4.6,8,10.6,1.66
William,Karlsson,C,,2,1,,1/20/2021,Late,VGK,ARI,-1.5,5.5,3.2,5900,26,1.5,7.5,21,10.5,1.78
Brock,Boeser,W,,1,1,,1/20/2021,Late,VAN,MTL,1.5,6,2.9,5100,5,0,7.5,23,10.5,2.06
Jared,Spurgeon,D,,x,1,,1/20/2021,Late,MIN,ANA,-1.5,5.5,2.9,4500,17,2,5,7.5,10.4,2.31
Reilly,Smith,W,,2,2,,1/20/2021,Late,VGK,ARI,-1.5,5.5,3.2,3800,31,1.5,8.9,23.5,10.3,2.71
Evander,Kane,W,,2,1,,1/20/2021,Late,SJS,STL,1.5,6,2.6,6600,14,3,18.6,34,10.2,1.55
Kevin,Fiala,W,,2,1,,1/20/2021,Late,MIN,ANA,-1.5,5.5,2.9,6400,23,6.5,12,16,10.1,1.58
Erik,Karlsson,D,,x,1,,1/20/2021,Late,SJS,STL,1.5,6,2.6,5500,28,3.5,8.8,20,10,1.82
Shea,Theodore,D,,x,2,,1/20/2021,Late,VGK,ARI,-1.5,5.5,3.2,6500,21,9,13.8,17.5,9.9,1.52
Zach,Parise,W,,1,1,,1/20/2021,Late,MIN,ANA,-1.5,5.5,2.9,4400,23,0,5.4,12.5,9.8,2.23
Ryan,O'Reilly,C,,1,1,,1/20/2021,Late,STL,SJS,-1.5,6,3.4,5300,21,3,11.2,21,9.6,1.81
Bo,Horvat,C,,2,1,,1/20/2021,Late,VAN,MTL,1.5,6,2.9,5800,22,1.5,8.6,19.5,9.6,1.66
Brendan,Gallagher,W,,1,2,,1/20/2021,Late,MTL,VAN,-1.5,6,3.1,5600,11,4.5,9.8,14.5,9.6,1.71
Logan,Couture,C,,1,1,,1/20/2021,Late,SJS,STL,1.5,6,2.6,5700,28,0,11.1,27,9.3,1.63
Alexander,Edler,D,,x,,,1/20/2021,Late,VAN,MTL,1.5,6,2.9,4900,4,1.5,4.8,14,9.2,1.88
Jonas,Brodin,D,,x,,,1/20/2021,Late,MIN,ANA,-1.5,5.5,2.9,4100,17,0.5,8.3,15,9.1,2.22
Brayden,Schenn,C,,2,1,,1/20/2021,Late,STL,SJS,-1.5,6,3.4,4100,21,2,8.9,21.5,9,2.2
Matt,Dumba,D,,x,2,,1/20/2021,Late,MIN,ANA,-1.5,5.5,2.9,5200,17,0.5,12.5,29.5,9,1.73
Kirill,Kaprizov,W,,1,1,,1/20/2021,Late,MIN,ANA,-1.5,5.5,2.9,5400,23,4.5,11.3,21.5,8.9,1.65
Timo,Meier,W,,2,2,,1/20/2021,Late,SJS,STL,1.5,6,2.6,6500,14,1.5,12.3,24.5,8.8,1.35
Tomas,Tatar,W,,1,2,,1/20/2021,Late,MTL,VAN,-1.5,6,3.1,5900,11,1.5,8.2,21,8.8,1.49
Alex,Tuch,W,,3,1,,1/20/2021,Late,VGK,ARI,-1.5,5.5,3.2,3400,31,1.5,5,12,8.7,2.56
J.T.,Miller,W,,1,1,,1/20/2021,Late,VAN,MTL,1.5,6,2.9,4900,5,0.5,10.1,17,8.7,1.78
Tyler,Toffoli,W,,3,1,,1/20/2021,Late,MTL,VAN,-1.5,6,3.1,3900,11,0.5,3.8,8,8.6,2.21
Jakob,Silfverberg,W,,2,1,,1/20/2021,Late,ANA,MIN,1.5,5.5,2.6,4000,1,0,5.8,12.5,8.6,2.15
Torey,Krug,D,,x,1,,1/20/2021,Late,STL,SJS,-1.5,6,3.4,5400,30,4.5,8.5,13,8.5,1.57
Jakob,Chychrun,D,,x,1,,1/20/2021,Late,ARI,VGK,1.5,5.5,2.3,5600,2,2.5,12.1,22.5,8.5,1.52
Nick,Suzuki,C,,2,1,,1/20/2021,Late,MTL,VAN,-1.5,6,3.1,5400,30,6.5,18.1,32,8.5,1.57
Clayton,Keller,W,,3,1,,1/20/2021,Late,ARI,VGK,1.5,5.5,2.3,5800,16,1.5,10.7,19.5,8.4,1.45
Conor,Garland,W,,1,2,,1/20/2021,Late,ARI,VGK,1.5,5.5,2.3,5500,16,0,11,29,8.4,1.53
Phil,Kessel,W,,2,1,,1/20/2021,Late,ARI,VGK,1.5,5.5,2.3,5700,16,0,8.1,21.5,8.4,1.47
Ryan,Suter,D,,x,2,,1/20/2021,Late,MIN,ANA,-1.5,5.5,2.9,5000,17,0.5,8.3,22.5,8.1,1.62
Quinn,Hughes,D,,x,1,,1/20/2021,Late,VAN,MTL,1.5,6,2.9,5300,4,4.5,8.3,15,8.1,1.53
Rickard,Rakell,W,,1,1,,1/20/2021,Late,ANA,MIN,1.5,5.5,2.6,5200,1,3.5,8.2,15.5,8,1.54
Jeff,Petry,D,,x,1,,1/20/2021,Late,MTL,VAN,-1.5,6,3.1,5800,27,2.5,13.3,30.5,8,1.38
Colton,Parayko,D,,x,,,1/20/2021,Late,STL,SJS,-1.5,6,3.4,4700,30,4,10.2,15,7.9,1.68
Christian,Dvorak,C,,2,2,,1/20/2021,Late,ARI,VGK,1.5,5.5,2.3,4700,2,0,5.3,12,7.8,1.66
Tanner,Pearson,W,,2,2,,1/20/2021,Late,VAN,MTL,1.5,6,2.9,3700,5,1.5,5.1,14.5,7.8,2.11
Nate,Schmidt,D,,x,2,,1/20/2021,Late,VAN,MTL,1.5,6,2.9,4800,4,0.5,4.9,12,7.6,1.58
Josh,Anderson,W,,0,,,1/20/2021,Late,MTL,VAN,-1.5,6,3.1,5300,11,,,,7.5,1.42
Jaden,Schwartz,W,,2,1,,1/20/2021,Late,STL,SJS,-1.5,6,3.4,4700,29,1.5,9.3,21.5,7.4,1.57
Jonathan,Drouin,W,,2,1,,1/20/2021,Late,MTL,VAN,-1.5,6,3.1,4600,11,0,8.8,16.5,7.4,1.61
David,Perron,W,,1,1,,1/20/2021,Late,STL,SJS,-1.5,6,3.4,4800,29,1.5,7,12.5,7.2,1.5
Ben,Chiarot,D,,x,,,1/20/2021,Late,MTL,VAN,-1.5,6,3.1,3100,27,0,3.4,9,7.2,2.32
Nick,Bonino,C,,2,1,,1/20/2021,Late,MIN,ANA,-1.5,5.5,2.9,3300,14,1.5,2,3,7,2.12
Cam,Fowler,D,,x,2,,1/20/2021,Late,ANA,MIN,1.5,5.5,2.6,3000,15,1,3.5,6.5,7,2.33
Kevin,Shattenkirk,D,,x,1,,1/20/2021,Late,ANA,MIN,1.5,5.5,2.6,3500,15,2,6.1,9,7,2
Ryan,Getzlaf,C,,1,2,,1/20/2021,Late,ANA,MIN,1.5,5.5,2.6,4500,27,0,3.4,6,6.9,1.53
Phillip,Danault,C,,1,,,1/20/2021,Late,MTL,VAN,-1.5,6,3.1,3900,30,0,5.2,13.5,6.9,1.77
Alec,Martinez,D,,x,,,1/20/2021,Late,VGK,ARI,-1.5,5.5,3.2,4600,21,5.5,10.2,16.5,6.9,1.5
Jake,Virtanen,W,,3,2,,1/20/2021,Late,VAN,MTL,1.5,6,2.9,3500,5,1.5,4.5,11.5,6.7,1.91
Hampus,Lindholm,D,,x,,,1/20/2021,Late,ANA,MIN,1.5,5.5,2.6,3800,15,0,2.3,4.5,6.6,1.74
Justin,Faulk,D,,x,,,1/20/2021,Late,STL,SJS,-1.5,6,3.4,3500,30,0,8.9,34,6.6,1.89
Jesperi,Kotkaniemi,C,,3,2,,1/20/2021,Late,MTL,VAN,-1.5,6,3.1,3000,30,0,3.8,13,6.5,2.17
Travis,Hamonic,D,,x,,,1/20/2021,Late,VAN,MTL,1.5,6,2.9,3600,4,2.5,5.2,10.5,6.4,1.78
Derick,Brassard,C,,3,2,,1/20/2021,Late,ARI,VGK,1.5,5.5,2.3,3600,2,1.5,4.3,10,6.4,1.78
Zach,Sanford,W,,1,2,,1/20/2021,Late,STL,SJS,-1.5,6,3.4,3400,29,1.5,6.3,13,6.4,1.88
Tyler,Pitlick,W,,3,1,,1/20/2021,Late,ARI,VGK,1.5,5.5,2.3,2500,16,0.5,4.2,12.5,6.4,2.56
Marcus,Johansson,W,,2,2,,1/20/2021,Late,MIN,ANA,-1.5,5.5,2.9,3600,23,0,5.5,14.5,6.4,1.78
Jordan,Oesterle,D,,x,2,,1/20/2021,Late,ARI,VGK,1.5,5.5,2.3,3400,2,2,4.1,9.5,6.3,1.85
Nick,Schmaltz,C,,1,2,,1/20/2021,Late,ARI,VGK,1.5,5.5,2.3,4400,2,3.5,11.7,22.5,6.3,1.43
Kevin,Labanc,W,,1,2,,1/20/2021,Late,SJS,STL,1.5,6,2.6,4100,14,3,7.3,18.5,6.2,1.51
Joel,Edmundson,D,,x,,,1/20/2021,Late,MTL,VAN,-1.5,6,3.1,4100,27,3.5,9.8,18,6,1.46
Tyler,Bozak,W,,3,2,,1/20/2021,Late,STL,SJS,-1.5,6,3.4,2700,29,0.5,5.8,13,6,2.22
Marc-Edouard,Vlasic,D,,x,,,1/20/2021,Late,SJS,STL,1.5,6,2.6,3300,28,0,3.6,7,5.8,1.76
Ryan,Donato,W,,1,2,,1/20/2021,Late,SJS,STL,1.5,6,2.6,3100,14,0,3.9,10.5,5.8,1.87
Adam,Henrique,C,,2,1,,1/20/2021,Late,ANA,MIN,1.5,5.5,2.6,4600,27,0,5.6,15.5,5.8,1.26
Mike,Hoffman,W,,3,2,,1/20/2021,Late,STL,SJS,-1.5,6,3.4,4500,29,3,11.9,18,5.8,1.29
Lawson,Crouse,W,,4,,,1/20/2021,Late,ARI,VGK,1.5,5.5,2.3,3000,16,0,2.2,3.5,5.8,1.93
Alex,Goligoski,D,,x,,,1/20/2021,Late,ARI,VGK,1.5,5.5,2.3,3700,2,1,4.3,8.5,5.8,1.57
Joel,Eriksson Ek,C,,3,,,1/20/2021,Late,MIN,ANA,-1.5,5.5,2.9,3500,14,3,8.2,21,5.8,1.66
John,Leonard,W,,3,2,,1/20/2021,Late,SJS,STL,1.5,6,2.6,3500,14,3.5,7.2,13.5,5.8,1.66
Danton,Heinen,W,,2,2,,1/20/2021,Late,ANA,MIN,1.5,5.5,2.6,3700,1,1.5,3.7,7.5,5.7,1.54
Vince,Dunn,D,,x,2,,1/20/2021,Late,STL,SJS,-1.5,6,3.4,2900,30,0,5.6,11,5.6,1.93
Nils,Hoglander,W,,2,2,,1/20/2021,Late,VAN,MTL,1.5,6,2.9,3900,5,2,5.8,13.5,5.6,1.44
Sam,Steel,C,,3,2,,1/20/2021,Late,ANA,MIN,1.5,5.5,2.6,3100,27,0,3.6,7,5.3,1.71
Brayden,McNabb,D,,x,,,1/20/2021,Late,VGK,ARI,-1.5,5.5,3.2,2900,21,0,3.1,9,5.3,1.83
Nick,Bjugstad,C,,4,2,,1/20/2021,Late,MIN,ANA,-1.5,5.5,2.9,2900,14,0,1.8,5,5.3,1.83
Nicolas,Roy,W,,3,2,,1/20/2021,Late,VGK,ARI,-1.5,5.5,3.2,2600,31,1,3.3,10,5.2,2
Marco,Scandella,D,,x,,,1/20/2021,Late,STL,SJS,-1.5,6,3.4,2500,30,0,1.6,4.5,5.1,2.04
Robert,Thomas,C,,3,2,,1/20/2021,Late,STL,SJS,-1.5,6,3.4,3200,21,0,5.2,10,4.8,1.5
Troy,Terry,W,,3,2,,1/20/2021,Late,ANA,MIN,1.5,5.5,2.6,2500,1,1.5,3.4,6.5,4.8,1.92
Artturi,Lehkonen,W,,4,,,1/20/2021,Late,MTL,VAN,-1.5,6,3.1,2500,11,1,5.9,13.5,4.7,1.88
Oskar,Sundqvist,W,,4,,,1/20/2021,Late,STL,SJS,-1.5,6,3.4,3600,29,0,7.3,28,4.6,1.28
Josh,Manson,D,DTD,x,,,1/20/2021,Late,ANA,MIN,1.5,5.5,2.6,2500,15,0,3.8,11,4.6,1.84
Zach,Whitecloud,D,,x,,,1/20/2021,Late,VGK,ARI,-1.5,5.5,3.2,2600,21,1,5.5,8.5,4.5,1.73
Alexander,Romanov,D,,x,2,,1/20/2021,Late,MTL,VAN,-1.5,6,3.1,4300,27,5.5,11,14.5,4.5,1.05
Marcus,Foligno,W,,3,,,1/20/2021,Late,MIN,ANA,-1.5,5.5,2.9,3300,23,0,4.5,11.5,4.5,1.36
Tyler,Motte,W,,4,,,1/20/2021,Late,VAN,MTL,1.5,6,2.9,3200,5,0,4.9,13.5,4.5,1.41
Drake,Caggiula,W,,2,,,1/20/2021,Late,ARI,VGK,1.5,5.5,2.3,2700,16,3,5.9,11.5,4.4,1.63
Mario,Ferraro,D,,x,2,,1/20/2021,Late,SJS,STL,1.5,6,2.6,3300,28,1.5,4.7,10.5,4.4,1.33
Victor,Rask,C,,1,2,,1/20/2021,Late,MIN,ANA,-1.5,5.5,2.9,3000,14,0,5.2,10,4.4,1.47
Adam,Gaudette,C,,3,2,,1/20/2021,Late,VAN,MTL,1.5,6,2.9,2900,22,0,5.7,12.5,4.4,1.52
Niklas,Hjalmarsson,D,,x,,,1/20/2021,Late,ARI,VGK,1.5,5.5,2.3,2600,2,0.5,1,2,4.3,1.65
Tyler,Myers,D,,x,,,1/20/2021,Late,VAN,MTL,1.5,6,2.9,3100,4,2.5,6.4,17,4.3,1.39
Chandler,Stephenson,C,,1,,,1/20/2021,Late,VGK,ARI,-1.5,5.5,3.2,4300,26,0,7,15,4.2,0.98
Nicolas,Hague,D,,x,2,,1/20/2021,Late,VGK,ARI,-1.5,5.5,3.2,2500,21,0,5,15,4.2,1.68
Sonny,Milano,W,,1,,,1/20/2021,Late,ANA,MIN,1.5,5.5,2.6,2700,1,1.5,4.2,7,4,1.48
Carter,Rowney,W,,4,,,1/20/2021,Late,ANA,MIN,1.5,5.5,2.6,2500,1,0.5,4.5,10,3.7,1.48
Brett,Kulak,D,,x,,,1/20/2021,Late,MTL,VAN,-1.5,6,3.1,3400,27,3.5,7.9,16,3.7,1.09
Kyle,Capobianco,D,,x,,,1/20/2021,Late,ARI,VGK,1.5,5.5,2.3,2500,2,1,3.6,6.5,3.6,1.44
Tomas,Nosek,C,,4,,,1/20/2021,Late,VGK,ARI,-1.5,5.5,3.2,2800,26,0.5,5.5,12,3.6,1.29
Ivan,Barbashev,C,,4,,,1/20/2021,Late,STL,SJS,-1.5,6,3.4,2500,21,1,3.8,6.5,3.6,1.44
William,Carrier,W,,3,,,1/20/2021,Late,VGK,ARI,-1.5,5.5,3.2,2500,31,0,1.4,2.5,3.5,1.4
Matt,Nieto,W,,4,,,1/20/2021,Late,SJS,STL,1.5,6,2.6,2500,14,0,1.4,2,3.5,1.4
Joel,Armia,W,,3,,,1/20/2021,Late,MTL,VAN,-1.5,6,3.1,2900,11,0,8.5,25.5,3.5,1.21
Nicolas,Deslauriers,W,,4,,,1/20/2021,Late,ANA,MIN,1.5,5.5,2.6,2500,1,4.5,11.9,33.5,3.5,1.4
Carl,Gunnarsson,D,,x,,,1/20/2021,Late,STL,SJS,-1.5,6,3.4,2500,30,1.5,3.7,7.5,3.5,1.4
Jani,Hakanpaa,D,,x,,,1/20/2021,Late,ANA,MIN,1.5,5.5,2.6,2500,15,0,3.1,11,3.4,1.36
Jordan,Kyrou,W,,2,,,1/20/2021,Late,STL,SJS,-1.5,6,3.4,2800,29,0,6.8,18,3.4,1.21
Brandon,Sutter,W,,4,,,1/20/2021,Late,VAN,MTL,1.5,6,2.9,3100,5,1.5,3,5,3.3,1.06
Marcus,Sorensen,W,,4,,,1/20/2021,Late,SJS,STL,1.5,6,2.6,2500,14,0,2.6,6.5,3.2,1.28
Christian,Fischer,W,,4,,,1/20/2021,Late,ARI,VGK,1.5,5.5,2.3,2500,16,0,0.7,1.5,3.2,1.28
Sammy,Blais,W,DTD,4,,,1/20/2021,Late,STL,SJS,-1.5,6,3.4,2500,29,1.5,4.3,8.5,3.1,1.24
Nico,Sturm,W,,4,,,1/20/2021,Late,MIN,ANA,-1.5,5.5,2.9,2500,23,0,4.8,14,3.1,1.24
Ryan,Hartman,W,,4,,,1/20/2021,Late,MIN,ANA,-1.5,5.5,2.9,2500,23,1,2.9,5,3.1,1.24
Jordan,Greenway,W,,3,,,1/20/2021,Late,MIN,ANA,-1.5,5.5,2.9,2600,23,0,4,13.5,3,1.15
Radim,Simek,D,,x,,,1/20/2021,Late,SJS,STL,1.5,6,2.6,2500,28,0,2.5,5.5,2.9,1.16
Paul,Byron,W,,4,,,1/20/2021,Late,MTL,VAN,-1.5,6,3.1,2500,11,0,2.6,7,2.9,1.16
John,Hayden,W,,0,,,1/20/2021,Late,ARI,VGK,1.5,5.5,2.3,2500,16,0,3.2,13,2.9,1.16
Jason,Demers,D,,x,,,1/20/2021,Late,ARI,VGK,1.5,5.5,2.3,2700,2,0,2.4,6.5,2.9,1.07
Stefan,Noesen,W,,3,,,1/20/2021,Late,SJS,STL,1.5,6,2.6,2500,14,0,4,14.5,2.8,1.12
Jay,Beagle,C,,4,,,1/20/2021,Late,VAN,MTL,1.5,6,2.9,2500,22,0,0.7,2,2.8,1.12
Patrick,Marleau,C,,4,,,1/20/2021,Late,SJS,STL,1.5,6,2.6,2500,28,0,0.6,1.5,2.7,1.08
Derek,Grant,C,,4,1,,1/20/2021,Late,ANA,MIN,1.5,5.5,2.6,2600,27,0.5,2.3,4,2.7,1.04
Johan,Larsson,C,,4,,,1/20/2021,Late,ARI,VGK,1.5,5.5,2.3,2500,2,0.5,2.4,3.5,2.7,1.08
Antoine,Roussel,W,,3,,,1/20/2021,Late,VAN,MTL,1.5,6,2.9,2500,5,0,2,6.5,2.5,1
Dylan,Gambrell,C,,3,,,1/20/2021,Late,SJS,STL,1.5,6,2.6,2500,28,0,1.8,3.5,2.5,1
Jacob,Larsson,D,,x,,,1/20/2021,Late,ANA,MIN,1.5,5.5,2.6,2500,15,0,1.6,5,2.4,0.96
Nikolai,Knyzhov,D,,x,,,1/20/2021,Late,SJS,STL,1.5,6,2.6,2500,28,0,1.8,6,2.4,0.96
Ryan,Reaves,W,,4,,,1/20/2021,Late,VGK,ARI,-1.5,5.5,3.2,2500,31,0,3.3,6,2.4,0.96
Carson,Soucy,D,,x,,,1/20/2021,Late,MIN,ANA,-1.5,5.5,2.9,2500,17,0,1.1,4,2.1,0.84
Jake,Evans,C,,4,,,1/20/2021,Late,MTL,VAN,-1.5,6,3.1,2500,30,0,3.7,17,2,0.8
Keegan,Kolesar,C,,4,,,1/20/2021,Late,VGK,ARI,-1.5,5.5,3.2,2500,26,0,0.5,1.5,1.3,0.52
Olli,Juolevi,D,,x,,,1/20/2021,Late,VAN,MTL,1.5,6,2.9,2500,4,0,1.6,3.5,0.4,0.16
Barrett,Hayton,W,O,1,1,,1/20/2021,Late,ARI,VGK,1.5,5.5,2.3,2800,16,0,2.7,10,0,0
Joel,Hofer,G,O,0,,#NAME?,1/20/2021,Late,STL,SJS,-1.5,6,3.4,6500,13,,,,0,0
Ivan,Prosvetov,G,O,0,,#NAME?,1/20/2021,Late,ARI,VGK,1.5,5.5,2.3,6500,14,,,,0,0
Karl,Alzner,D,O,x,,,1/20/2021,Late,MTL,VAN,-1.5,6,3.1,2500,27,0.5,2,3.5,0,0
Andrew,Shortridge,G,O,0,,#NAME?,1/20/2021,Late,SJS,STL,1.5,6,2.6,6500,20,,,,0,0
Devan,Dubnyk,G,O,1,,#NAME?,1/20/2021,Late,SJS,STL,1.5,6,2.6,6900,20,1.4,5.9,17.2,0,0
Adin,Hill,G,O,0,,#NAME?,1/20/2021,Late,ARI,VGK,1.5,5.5,2.3,6500,14,5.6,11.7,19.1,0,0
Ville,Husso,G,O,2,,#NAME?,1/20/2021,Late,STL,SJS,-1.5,6,3.4,8100,13,-7,-7,-7,0,0
Maxim,Letunov,C,O,0,,,1/20/2021,Late,SJS,STL,1.5,6,2.6,2500,28,0,4.5,12,0,0
Michael,McNiven,G,O,0,,#NAME?,1/20/2021,Late,MTL,VAN,-1.5,6,3.1,6500,27,,,,0,0
Vasili,Demchenko,G,O,0,,#NAME?,1/20/2021,Late,MTL,VAN,-1.5,6,3.1,6500,27,,,,0,0
Charlie,Lindgren,G,O,0,,#NAME?,1/20/2021,Late,MTL,VAN,-1.5,6,3.1,6500,27,2.8,7.3,14.4,0,0
Antti,Raanta,G,O,2,,#NAME?,1/20/2021,Late,ARI,VGK,1.5,5.5,2.3,6800,14,-7,8.2,17.2,0,0
Andrew,Hammond,G,O,0,,#NAME?,1/20/2021,Late,MIN,ANA,-1.5,5.5,2.9,6500,8,0,12.3,36.3,0,0
Jon,Gillies,G,O,0,,#NAME?,1/20/2021,Late,STL,SJS,-1.5,6,3.4,6500,13,-2.1,6.5,20.7,0,0
Manuel,Wiederer,C,O,0,,,1/20/2021,Late,SJS,STL,1.5,6,2.6,2500,28,,,,0,0
Klim,Kostin,W,O,0,,,1/20/2021,Late,STL,SJS,-1.5,6,3.4,2500,29,1.5,4,10,0,0
Cam,Talbot,G,O,1,,#NAME?,1/20/2021,Late,MIN,ANA,-1.5,5.5,2.9,7800,8,-6.3,11.2,17.2,0,0
Cayden,Primeau,G,O,0,,#NAME?,1/20/2021,Late,MTL,VAN,-1.5,6,3.1,6500,27,11.9,19.2,26.5,0,0
Josef,Korenar,G,O,0,,#NAME?,1/20/2021,Late,SJS,STL,1.5,6,2.6,6500,20,,,,0,0
Alexei,Melnichuk,G,O,0,,#NAME?,1/20/2021,Late,SJS,STL,1.5,6,2.6,6500,20,,,,0,0
Alex,Stalock,G,O,0,,#NAME?,1/20/2021,Late,MIN,ANA,-1.5,5.5,2.9,6500,8,-1.4,7.9,29.6,0,0
Jake,Allen,G,O,2,,#NAME?,1/20/2021,Late,MTL,VAN,-1.5,6,3.1,7800,27,0,14.3,29.3,0,0
